Actors1,Actors2,Actors3,Actors4,Actors5,Actors6,Actors7,Budget,Dialogue,Director,First_Day,First_Week,First_Weekend,Genre,India_Gross,Lyrics,Music,Producer,Production_Banner,Release_Date,Runtime,Screenplay,Screens,Story,Title
Durgesh Nandini,NA,NA,NA,NA,NA,NA,2500000,Khalid Majeed,K.I. Shaikh,--,--,--,Drama,2250000,Khalid Majeed,Suraj - Kiran,Bhagat Singh,Bhagat Film Production,04-May-01,116,Khalid Majeed,2,Khalid Majeed,Ramgadh Ki Ramkali
Aman Sagar,NA,NA,NA,NA,NA,NA,1500000,Manoj Sinha,Pappu Bahruz,--,--,--,Drama,1000000,Ravi Chopra,Vivek Bakshi,Leena Upadhyay,Modern Age Creativity,04-May-01,107,Manoj Sinha,1,Manoj Sinha,Kuch Karo Na
Soheil Khan,Rani Sinha,Jai Kalgutkar,Meenakshi,Arjun,Upasna Singh,Jaya Mathur,2000000,Khalid Majeed,K.I. Shaikh,--,--,--,Mystery,1225000,NA,Suraj - Kiran,NA,Love Movies,04-May-01,120,Khalid Majeed,3,Khalid Majeed,Gumnaam Hai Koi
Puru Raajkumar,Dipti Bhatnagar,Kanchan,Laxmikant Berde,Shashikala,Alok Nath,Shakti Kapoor,17500000,Sayyed Sultan,NA,--,4000000,--,Drama,9600000,"Madan Pal,Shyam Raj",Aadesh Shrivastava,Pahlaj Nihalani,Chiragdeep International,04-May-01,145,Sayyed Sultan,75,"Sayyed Sultan,Rajan Johri",Uljhan
Mithun Chakraborty,Puru Raajkumar,Sudesh Berry,Ronit Roy,Rutika Singh,NA,Raj Babbar,15000000,Khalid Majeed,Imran Khalid,1300000,5300000,3400000,Action,16800000,"Aseem Shirazi,Rajeshwari Dasgupta,Ibrahim Ashik,Vinay Bihari","Gunwant - Raj,Ram Shankar",Sanjay D. Chaturvedi,ABC Pictures Pvt. Ltd.,04-May-01,178,Khalid Majeed,80,Khalid Majeed,Khatron Ke Khiladi
Rajeev Raj,NA,NA,NA,NA,NA,NA,1500000,Khalid Majeed,K.I. Shaikh,--,--,--,Horror,1750000,NA,"Amit Gupta,K.N. Jha",Muneer Khan,S.P. Films Creations,27-Apr-01,98,Khalid Majeed,0,Khalid Majeed,Aadamkhor Daayan
Aman Sagar,NA,NA,NA,NA,NA,NA,1500001,Pradip Sharma,Abhishek,--,--,--,Drama,1500000,S. Lyallpuri,Amar - Akbar,C.P. Singh,Sai Baba Films,27-Apr-01,123,Pradip Sharma,1,Pradip Sharma,Mahaarani
Himansh Kohli,Rakul Preet Singh,Devanshu Sharma,Nicole Faria,Shreyas Pardiwala,Serah Singh,Evelyn Sharma,210000000,"Divya Khosla,Sanjeev Duggal",Divya Khosla,54800000,277400000,165700000,Love Story,517900000,"Irshad Kamil,Amitabh Bhattacharya","Honey Singh,Pritam,Mithoon,Arko Pravo Mukherjee","Bhushan Kumar,Krishan Kumar",T-Series,10-Jan-14,145,Divya Khosla,1400,Sanjeev Dutta,Yaariyan
Naseeruddin Shah,Madhuri Dixit,Arshad Warsi,Huma Quershi,Vijay Raaz,Manoj Pahwa,Salman Shahid,370000000,"Vishal Bhardwaj,Abhishek Chaubey",Abhishek Chaubey,25200000,182400000,107700000,Rom - Com,335800000,Gulzar,Vishal Bhardwaj,"Vishal Bhardwaj,Raman Maroo",Shemaroo Entertainment,10-Jan-14,152,Darab Farooqui,1250,Vishal Bhardwaj,Dedh Ishqiya
Satnam Kaur,NA,NA,NA,NA,NA,NA,2500000,Prem Kumar Sharma,Sunny Kapoor,--,--,--,Drama,1925000,Pravin Kumar,Pravin Kumar,Raj Arora,Sainath International,27-Apr-01,103,Prem Kumar Sharma,5,Prem Kumar Sharma,Yeh Shabnam Bani Shola
Rani Sinha,NA,NA,NA,NA,NA,NA,1500000,J.K. Ahuja,Inder Kumar Gupta,--,--,--,Horror,875000,"Pradeep Trivedi,Taj Akhtar",K.N. Jha,N.C. Vasani,Gee Vee Films Combine,13-Apr-01,118,J.K. Ahuja,1,J.K. Ahuja,Chehra Maut Ka
Satnam Kaur,NA,NA,NA,NA,NA,NA,2500000,Prem Kumar Sharma,Teerat Singh Johar,100000,425000,275000,Drama,1450000,Taufeeq Paalvi,Dheeraj Sen,Sarabjit Chowdhary,J.K. Movies International,13-Apr-01,112,Teerat Singh Johar,10,Prem Kumar Sharma,Shola Aur Barood
Sapna,NA,NA,NA,NA,"

",NA,3500000,Bashir Babbar,Kanti Shah,450000,2100000,1300000,Action,7900000,NA,Sawan Kumar Sawan,NA,Pali Films,06-Apr-01,113,Bashir Babbar,25,Bashir Babbar,Jungle Ki Sherni
Neha,Rajeshwari Sachdev,Gulshan Grover,Neena Kulkarni,Parikshat Sahni,Mahesh Thakur,Manish Wadhwa,27500000,"Anuradha Tiwari,Farhan",Prakash Jha,775000,4800000,2700000,Drama,16200000,Anand Bakshi,Anu Malik,Prakash Jha,Mukta Arts,06-Apr-01,153,NA,70,Farhan,Rahul
Satnam Kaur,NA,NA,NA,NA,NA,NA,1500000,"Anand Dehlvi,R. Kundan",Bunty,--,--,--,Drama,675000,NA,Sawan Kumar Sawan,Nath Gomare,B4U Entertainment,06-Apr-01,96,"Anand Dehlvi,R. Kundan",1,"Anand Dehlvi,R. Kundan",Malkin
Durgesh Nandini,NA,NA,NA,NA,NA,NA,2000000,NA,"A. Chitransh,Ramesh Lakhiani",--,--,--,Drama,1450000,NA,Ghulam Ali Chander,"Nandlal Lodhi,Subhash Kale",Anita Movies International,23-Mar-01,114,NA,2,NA,Daku Rani
Vijay Solanki,Upma Srivastav,Meenu Sharma,Ravi Singh,Rajat Bakshi,Ashok Soni,Rajesh Bakshi,1500000,M.L. Bhaskar,Rajesh Bakshi,--,--,--,Drama,400000,M.L. Bhaskar,Jasbir Jassi,M.L. Bhaskar,M.L. Bhaskar Films,23-Mar-01,115,M.L. Bhaskar,1,M.L. Bhaskar,Yeh Hai Pyar Ka Mausam
Sapna,NA,NA,NA,NA,NA,NA,2000000,Khalid Majeed,K.I. Shaikh,--,--,--,Action,1650000,"Khalid Majeed,Kumar Anjum,Sanam Gazipuri",Sawan Kumar Sawan,Kamal Nayyar,Millennium 2000 Films ,23-Mar-01,129,Khalid Majeed,2,Khalid Majeed,Rupa Rani Ramkali
Satnam Kaur,NA,NA,NA,NA,NA,NA,2500000,Anand Dehlvi,J. Neelam,--,--,--,Drama,3000000,NA,Nishad Vaidya,J. Neelam,Deep Jyoti Films,16-Mar-01,128,NA,10,Anand Dehlvi,Main Hoon Kunwari Dulhan
Amit Pachori,Satnam Kaur,Prithvi,Deepak Shirke,Raza Murad,Poonam Dasgupta,Anil Nagrath,2500000,"Bashir Babbar,Bashir Babbar",Jitendra Chawda,--,--,--,Horror,2050000,Zail Singh,Sawan Kumar Sawan,Kajal Mukherjee,Ishwar Films,16-Mar-01,100,NA,10,Bashir Babbar,Dafan
Dharmendra,Shakti Kapoor,NA,Pinky Chennoy,Shahbaaz Khan,Hemant Birje,Razzak Khan,5000000,Bashir Babbar,Kanti Shah,--,1250000,--,Action,4000000,Sawan Kumar Sawan,Sawan Kumar Sawan,NA,V4U Movies,16-Feb-01,139,Bashir Babbar,15,Bashir Babbar,Jagira
Sudesh Berry,Divya Dwivedi,Kumaar Aadarsh,Moona Matar,Sainora,"

",NA,6500000,"Sanjay Khandelwal,Ravi K. Patwa","Sanjay Khandelwal,Ravi K. Patwa",--,4500000,--,Adult,14600000,Kiran Mishra,Ram Shankar,"Ravi K. Patwa,Sanjay Khandelwal",Vijayshri Productions,09-Mar-01,165,"Sanjay Khandelwal,Ravi K. Patwa",50,"Sanjay Khandelwal,Ravi K. Patwa",Vatsyayana Kamsutra
Jai Thakur,NA,NA,NA,NA,NA,NA,2500000,Siddique Durrani,K. Shivram,--,--,--,Mystery,1150000,"Prem Bharti,Siddique Durrani,Poonam Bhatt",Gunwant - Raj,"Ranjeet Singh,Dharmesh Jaitley,Harish Marwah",Jeet Productions,02-Mar-01,113,Dharmesh Jaitley,6,Siddique Durrani,Qatil Haseeno Ka
Robin Ghai,Sainora,Aruna Sangal,NA,NA,NA,NA,2000000,K. Shivram,K. Shivram,--,--,--,Drama,750000,Sandeep Nath,Suman - Sudeep,Robin Ghai,Om Namah Shivay Films,23-Feb-01,97,K. Shivram,1,Dinesh Prabhakar,Jalta Badan
Aqbal Dhani,NA,NA,NA,NA,NA,NA,2000000,Amrit Sagar,Thakur Tapasvi,--,--,--,Drama,1700000,Thakur Tapasvi,Kamal Kant,"Thakur Tapasvi,R.K. Duggal",Tapasvi Productions,16-Feb-01,122,Thakur Tapasvi,3,Amrit Aryan,Badla Aurat Ka
Ronit Roy,Harsha Mehra,Aashif Sheikh,Reema Lagoo,Kiran Kumar,Aruna Irani,Rohini Hattangadi,6000000,Amitava Bhattacharya,Amitava Bhattacharya,400000,650000,150000,Love Story,1825000,Rani Malik,Anup Jalota,"Anup Jalota,Dilip Mirpuri",Anup Jalota,16-Feb-01,148,Amitava Bhattacharya,15,"Sushen Bhatnagar,Yusuf Khan",Hum Deewane Pyar Ke
Rani Sinha,Ali Khan,Raza Murad,Rakesh Pandey,Goga Kapoor,"

",NA,2000000,Rajesh Mittal,Rajesh Mittal,--,--,--,Drama,1300000,"Kunwar Bairagi,Sunder Rao,Suresh Chauhan,Razia Parkar",Prem Kumar Sharma,Rajesh Mittal,R.N. Films,02-Feb-01,84,Rajesh Mittal,2,Rajesh Mittal,Haseena Dacait
Amit Pachori,NA,NA,NA,NA,NA,NA,2500000,Dilip Gulati,Dilip Gulati,--,--,--,Drama,500000,"Lata Haya,Dilip Tahir",Raj Sen,Farook,Fairdeal Films,26-Jan-01,0,Dilip Gulati,1,Dilip Gulati,Shaheed-E-Kargil - A True Story
Moon Moon Sen,NA,NA,NA,NA,NA,NA,3000000,NA,Anil Dhanda,--,--,--,Drama,250000,Sahil Sultanpuri,Babu Kishen,Ambrish Kashyap,Aditya Film,26-Jan-01,146,NA,1,NA,Andheri Raaton Mein
Dharmendra,Rajni Chandra,NA,NA,NA,NA,NA,5000000,"Baldev Prasad,Naresh Namdev",Pappu Sharma,--,--,--,Action,2800000,Manoj Darpan,Babli Haq,Kamla Sharma,Balaji Video & Films,26-Jan-01,119,"Baldev Prasad,Naresh Namdev",8,"Baldev Prasad,Naresh Namdev",Daku Bhairav Singh
Mithun Chakraborty,Aditya Pancholi,Rutika Singh,Shahbaaz Khan,Sanjay Mishra,NA,Ishrat Ali,9000000,Ikram Akhtar,Deepak Pawar,425000,1700000,1100000,Action,6100000,"Nawab Arzoo,Asad Ajmeri",Ghulam Ali Chander,Deepak Pawar,J.D. Creations,26-Jan-01,117,Ikram Akhtar,30,Naeem - Ejaz,Baghaawat... Ek Jung
Varun Vardhan,NA,NA,"

",NA,NA,NA,1500000,Debyoti Roy,Naresh Ambasta,--,--,--,Drama,225000,"Prashant Jain,S. Lyallpuri",Kalyan Vardhan,Rovil Raj,R.N.R. International,26-Jan-01,0,Debyoti Roy,1,Debyoti Roy,The Telephone
Dharmendra,NA,NA,NA,NA,NA,NA,6000000,Bashir Babbar,Kanti Shah,350000,1500000,950000,Action,4800000,Jalil Ahmed,Jatin Shyam,Rafiq Ahmed,Shehnaz Enterprises,05-Jan-01,124,Bashir Babbar,20,Bashir Babbar,Galiyon Ka Baadshah
Lalitesh,Sapna,Vijay Gupta,Satnam Kaur,Mohan Joshi,Kiran Kumar,Raza Murad,2000000,Sanjay Sinha,Sanju K. Gupta,--,--,--,Drama,1600000,Rakesh Mishra,Rakesh Mishra,Chandini Gupta,Khazanchi Gupta Films,05-Jan-01,115,Sanjay Sinha,1,Sanjay Sinha,Bindiya Maange Bandook
Mithun Chakraborty,Indrani Halder,NA,NA,NA,NA,NA,10000000,T.L.V. Prasad,T.L.V. Prasad,850000,3550000,2200000,Action,11900000,"Satya Prakash,Jauhar Kanpuri",Surinder Singh Sodhi,Liyaqat Siraj,S.D.R. Film,19-Jan-01,134,T.L.V. Prasad,55,Meeraq Mirza,Bhairav
Satnam Kaur,NA,NA,NA,NA,NA,NA,2500000,Shikha Johri,A. Kumar,--,--,--,Action,2100000,Vinay Bihari,Babla Bagchi,A. Kumar,Star International,26-Jan-01,129,Shikha Johri,8,Shikha Johri,Main Jyoti Tu Jwala
Anita Kanwal,Aditya Lakhia,Gopi Desai,Lalit Tiwari,NA,NA,NA,1500000,Kamal Swaroop,Kamal Swaroop,--,225000,--,Drama,325000,NA,Rajat Dholakia,NA,NFDC,17-Jan-14,101,Kamal Swaroop,10,Kamal Swaroop,Om Dar-B-Dar
Zeenat Aman,Shubh Mukherjee,Indrani Halder,Rajesh Sharma,Avalok Nagpal,Trishaan Sarkar,NA,8000000,Sanghamitra Chaudhuri,Sanghamitra Chaudhuri,--,--,--,Drama,70000,NA,Dev Sikdar,NA,Eon Films,17-Jan-14,99,Sanghamitra Chaudhuri,10,Sanghamitra Chaudhuri,Strings Of Paasion
Anuj Saxena,Neha Pawar,Mohinder Gujral,Himanshu Thakkar,NA,NA,NA,15000000,NA,Sachin Gupta,125000,685000,475000,Love Story,900000,"Devshi Khanduri,Vipin Mishra,Virag Mishra","Vikram Khajuria,Vasundhara Das","Sachin Gupta, Sushma Gupta",Chilsag Motion Pictures,17-Jan-14,101,Sachin Gupta,75,Sachin Gupta,Paranthe Wali Gali
Nawazuddin Siddiqui,Niharika Singh,Anil George,Zeena Bhatia,Menaka Lalwani,Ragesh Asthana,NA,50000000,Ashim Ahluwalia,Ashim Ahluwalia,550000,3500000,2300000,Drama,5200000,NA,NA,NA,Easel Films,17-Jan-14,113,Ashim Ahluwalia,250,"Ashim Ahluwalia,Mushfiq Khan,Aaditya Bharadwaj",Miss Lovely
Shiv Darshan,Hasleen Kaur,Aham Sharma,Tanya Malik,Ankit Raj,Mahesh Thakur,Sanjay Sharma,260000000,"Reshu Nath,Rahul Patel,Rajesh Pandey",Rajesh Pandey,2700000,13350000,8900000,Love Story,19100000,"Kumaar,Mumzy Stranger,Paras Chaurasia,Mehmood Arfat,Yusuf Khan,Tasha Tah,Shakeel Azmi,Suneel Darshan,Rashid Khan","Meet Bros,Suneel Darshan,Rayyan Ameen,Prashant Singh,Rashid Khan,Mumzy Stranger",Suneel Darshan,Shree Krishna International,17-Jan-14,116,Suneel Darshan,1100,"Rajesh Pandey,Rahul Patel,Reshu Nath",Karle Pyaar Karle
Salman Khan,Tabu,Daisy Shah,Danny Denzongpa,Nadira Babbar,Mahesh Thakur,Ashmit Patel,1020000000,Dilip Shukla,Sohail Khan,170600000,834800000,581700000,Action,1486400000,"Kausar Munir,Danish Sabri,Devi Prasad Sharma,Shabbir Ahmed,Irfan Kamal,Armaan Malik,Sajid,Sameer","Sajid - Wajid,Devi Prasad Sharma,Amal Malik","Sunil Lulla,Sohail Khan",Eros International,24-Jan-14,143,Dilip Shukla,3700,A.R. Murugadoss,Jai Ho
Kumar Rajesh,NA,NA,"

",NA,NA,NA,1000000,Rajesh Mittal,Rajesh Mittal,--,--,--,Horror,500000,Paro Tamanna,Prem Kumar Sharma,Rajesh Mittal,R.N. Movies,29-Dec-00,74,Rajesh Mittal,1,Rajesh Mittal,Khooni Kala Jadu
Shabana Azmi,Rajit Kapoor,Rajeshwari Sachdev,Surekha Sikri,Nandita Das,Meghna Kothari,Lalit Tiwari,4000000,Shama Zaidi,Shyam Benegal,--,--,--,Drama,650000,Maya Govind,Vanraj Bhatia,NA,NFDC,29-Dec-00,134,"Shama Zaidi,Priya Chandrashekhar",1,NA,Hari Bhari
Abhay Deol,Preeti Desai,Lillete Dubey,Rati Agnihotri,Jayant Kripalani,Darshan Jariwala,Geetika Tyagi,210000000,"Manoj Tapadia,Devika Bhagat",Devika Bhagat,5700000,27700000,19000000,Rom - Com,37700000,Amitabh Bhattacharya,Shankar - Ehsaan - Loy,"Abhay Deol,Amit Kapoor,Sanjay Kapoor,Vikram Khakkar",Cynozure Networkz,31-Jan-14,139,Devika Bhagat,500,Devika Bhagat,One By Two
Dharmendra,Rami Reddy,Ishrat Ali,Razzak Khan,NA,Anil Nagrath,Amit Pachori,5000000,Bashir Babbar,Kanti Shah,275000,1150000,725000,Action,4300000,NA,Ghulam Ali Chander,O.P. Goyal,Shree Laxmi Pictures,22-Dec-00,87,Bashir Babbar,20,Bashir Babbar,Jallad No. 1
Ronit Roy,Ritu Shivpuri,Rohit Roy,Navin Nischol,Poonam Dasgupta,Tej Sapru,Rakesh Bedi,4500000,NA,Shashikant Nalavade,--,--,--,Mystery,250000,"Anwar Sagar,Mulshanker Vyas,Arif Abrar",Ratnesh Sarkar,Kishan Vyas,Nita Film Pvt. Ltd.,15-Dec-00,123,NA,1,NA,Glamour Girl
Dharmendra,NA,NA,NA,NA,NA,NA,4000000,Siddique Durrani,Willy - Raja,--,--,--,Drama,2200000,Siddique Durrani,Navin Shivram,Ramesh K. Doshi,R.D. Films,08-Dec-00,118,Raja Avasthi,3,Raja Avasthi,Bhai Thakur
Manoj Bajpai,Tabu,Sheeba,Anupam Kher,Om Puri,Irrfan Khan,Mukesh Tiwari,37500000,Neeraj Pathak,Akashdeep,2900000,13250000,8200000,Drama,38900000,Sameer,Anu Malik,Kumar Mohan,K. Bhagyalaxmi Pictures,08-Dec-00,160,Neeraj Pathak,135,Neeraj Pathak,Ghaath
Mithun Chakraborty,Chunky Pandey,Shraddha Sharma,Mink,Johny Lever,Mukesh Rishi,Deepak Shirke,10000000,Naeem - Ejaz,Jagdish Sharma,--,3550000,--,Action,11100000,"Dev Kohli,Anwar Sagar",Anand - Milind,"Gary Van Shipley,Sagar Shukla",Siddharthaa Arts,24-Nov-00,128,Meeraq Mirza,55,NA,Jwalamukhi
Zahid Vaza,NA,NA,NA,NA,NA,NA,2000000,Hemant Kamal,Hemant Kamal,--,--,--,Drama,175000,Deepak Sneh,Dilip Dutta,L.M. Khan,Victory Films Enterprises,17-Nov-00,120,Hemant Kamal,1,Hemant Kamal,Mita De Bindiya Utha Le Bandook
Sophiya Haque,Sohrab Ardeshir,Saurabh Shukla,Makarand Deshpande,Archana Puran Singh,NA,NA,8000000,"Sunhil Sippy,Ruchi Narain",Sunhil Sippy,525000,3175000,1800000,Comedy,10200000,"Sameer,Tara Sehgal","Ashutosh Phatak,Dhruv Ghanekar","Sunhil Sippy,Girish Sanger,Aditya Mittal",Mercury Films,08-Dec-00,100,"Sunhil Sippy,Ruchi Narain",30,"Ruchi Narain,Sunhil Sippy",Snip!
Rani Sinha,NA,NA,NA,NA,NA,NA,2000000,S. Babulgoankar,R.K. Khanna,--,--,--,Horror,2100000,"Nawab Arzoo,K. Chandra","Sawan Kumar Sawan,Ghulam Ali Chander","K.C. Bhardwaj,R.K. Khanna",Kamladevi Production,17-Nov-00,74,S. Babulgoankar,1,S. Babulgoankar,Shamshaan
Manish,NA,NA,NA,NA,NA,"

",1500000,Mushtaq Merchant,S.U. Sayyed,--,--,--,Drama,600000,Yashwant Budhwani,Jack Brothers,"Amar Roy,N. Ismail",Citizen Movies,17-Nov-00,114,S.U. Sayyed,1,S.U. Sayyed,Club Dancer No. 1 - Gulabi Raatein
Satnam Kaur,Kiran Kumar,Deepak Shirke,Joginder,NA,NA,NA,2000000,Prem Kumar Sharma,Teerat Singh Johar,--,--,--,Drama,1600000,"Kumar Anjum,Lalit Tara",Sawan Kumar Sawan,Vimal Jain,Nishu Arts,17-Nov-00,105,Prem Kumar Sharma,2,Prem Kumar Sharma,Daku Maharani
Almas Khan,NA,NA,NA,NA,NA,"

",1500000,Ravi Bhushan,Anil Dhanda,--,--,--,Drama,450000,Ravi Bhushan,Datta Kumbhar,P.K. Balakrishnan,Jaya Vijaya Productions,17-Nov-00,100,Ravi Bhushan,1,Mohini Dhanda,Dolly Darling
Yogendra Konkar,Jay Devi,NA,NA,"

",NA,NA,1000000,Yogendra Konkar,Yogendra Konkar,--,--,--,Comedy,700000,NA,NA,Yogendra Konkar,Sharayu Arts,10-Nov-00,80,Yogendra Konkar,1,Yogendra Konkar,Saali Poori Gharwali
Shiv Kumar,NA,NA,NA,NA,NA,NA,5500000,B.S. Thapa,Shiv Kumar,--,--,--,Drama,725000,Ravindra Jain,Ravindra Jain,Shiv Kumar,Ashwin Arts,10-Nov-00,136,Shiv Kumar,3,Shiv Kumar,Krishna Tere Desh Mein
Satnam Kaur,Shakti Kapoor,Anil Nagrath,Ali Khan,NA,Jack Gaud,"

",5000000,R.S. Pandit,Sabir Shaikh,--,--,--,Action,3600000,Sahil Sultanpuri,Raees,"Arif Tamboli,Zuber",Zen Productions,10-Nov-00,120,R.S. Pandit,10,R.S. Pandit,Kaali Ki Saugandh
Dharmendra,Sapna,NA,NA,NA,NA,NA,4500000,Anand Dehlvi,Kishan Shah,--,--,--,Action,2400000,Zail Singh,Sawan Kumar Sawan,"Shakuntala Gohil,Nath Gomare",5001 Films,10-Nov-00,132,Anand Dehlvi,5,Anand Dehlvi,Aakhri Dacait
Prithvi,NA,NA,NA,NA,NA,"

",1500000,Rajender Bittu,Dinesh Thakkar,--,--,--,Horror,675000,"Kishor Chanchal,Muzaffar Rampuri",Sourabh,Rakesh Gupta,Shreenath Films Production,03-Nov-00,101,Rajender Bittu,1,Rajender Bittu,Chudail Ki Raat
Dharmendra,NA,NA,NA,NA,NA,NA,6000000,Habib Khan,S.R. Pratap,--,2550000,--,Action,9200000,"Khalid Majeed,Amina Israr Ahmed,Nayyer Jaunpuri,Sanjay Kohli","Suraj - Kiran,Sanjiv Kohli",Israr Ahmed,Goodluck Films,27-Oct-00,120,Khaleed Jameel,45,S.R. Pratap,Daku Kali Bhawani
Dharmendra,NA,NA,NA,NA,NA,NA,4500000,Rajan Aggarwal,K.B. Tilak,275000,1400000,875000,Action,5200000,NA,Vishu - Jayant,Gaurav Mohnot,N.D.R. Production,27-Oct-00,115,Rajan Aggarwal,18,Rajan Aggarwal,Patthar Aur Payal
Poonam Dasgupta,NA,NA,NA,NA,"

",NA,1500000,NA,Kishan Shah,--,--,--,Horror,1075000,"Zail Singh,Sanam Gazipuri",Sawan Kumar Sawan,Shakuntala Gohil,5001 Films,20-Oct-00,77,Ajay Shakya,1,NA,Kaali Pahadi
Manzar Sehbai,Ajaz Khan,Arjumman Mughal,Akhilendra Mishra,Raju Kher,Kishori Shahane,NA,60000000,Sanjay Masoom,Hasnain Hyderabadwala,--,2325000,--,Drama,3600000,Shakeel Azmi,Amjad - Nadeem,"Mohsin Ali Khan,Meesam Ali Khan,Hoori Ali Khan",True Films,07-Feb-14,120,Ikram Akhtar,275,Ikram Akhtar,Ya Rab
Sahil Anand,Erica Fernandes,Sumit Suri,Preet Kamal,Amol Parashar,Reyhna Malhotra,Pravin Dabbas,45000000,"Deepak Venkateshan,Sanjay Chauhan",Nila Madhab Panda,--,2175000,--,Love Story,3000000,Protique Majumdar,Bishakh - Kanish,"Ravi Dutta,Gagan Dhawan,Nila Madhab Panda",FilmyBox Movies,07-Feb-14,119,"Deepak Venkateshan,Sanjay Chauhan",275,Sanjay Chauhan,Babloo Happy Hai
Adhyayan Suman,Ariana Ayam,Om Puri,Deepti Naval,Madan Jain,Shekhar Suman,NA,110000000,Niranjan Iyengar,Shekhar Suman,--,8500000,--,Thriller,11800000,"Shekhar Suman,Seema Saini,Arafat Mehmood",Gaurav Dagaonkar,Alka Suman,Windmill Entertainment,07-Feb-14,136,Nina Arora,400,NA,Heartless
Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Manoj Joshi,Sharat Saxena,Neena Kulkarni,Tinnu Anand,260000000,"Purva Naresh,Anurag Kashyap,Vinil Mathew,Harshvardhan Kulkarni",Vinil Mathew,43900000,272400000,174200000,Rom - Com,489700000,"Kumaar,Amitabh Bhattacharya",Vishal - Shekhar,"Karan Johar,Vikramaditya Motwane,Vikas Bahl,Anurag Kashyap",Dharma Productions Pvt. Ltd.,07-Feb-14,141,Harshvardhan Kulkarni,1300,Harshvardhan Kulkarni,Hasee Toh Phasee
Sapna,NA,NA,NA,NA,NA,NA,2000000,Bashir Babbar,Kishan Shah,--,--,--,Action,2600000,Sayyad Ajmeri,"Gunwant - Raj,Sayyad Ajmeri",J. Neelam,Deep Jyoti Films,06-Oct-00,130,Anand Dehlvi,5,Bashir Babbar,Ganga Dacait
Abhishekh,NA,NA,NA,NA,NA,"

",1000000,NA,Dinesh Thakkar,--,--,--,Drama,375000,NA,Raj Kalsi,Surendra Mohan Ahuja,Talk Of The Town Films,15-Sep-00,110,NA,1,NA,Naakhoon
Shilpa Navalkar,NA,NA,Atul Kulkarni,Mohan Gokhale,Renuka Daftardar,Sonali Kulkarni,1500000,G.A. Kulkarni,Amol Palekar,--,--,--,Drama,500000,NA,Bhaskar Chandavarkar,NA,Driya Films,29-Sep-00,145,"Amol Palekar,Chitra Palekar",1,G.A. Kulkarni,Kairee
Mandeep,Sapna,NA,NA,"

",NA,NA,3000000,Bashir Babbar,Anil Dhanda,--,--,--,Drama,675000,"Payam Sayeedi,Qaisarul Jaffrey",Datta Kumbhar,Mrs. Laxmi Narayan,Ashtalakshmi Films,06-Oct-00,89,Bashir Babbar,1,Mrs. Laxmi Narayan,Raat Ki Baat
Hemanshu,NA,NA,NA,NA,NA,NA,3500000,S. Sachindra,Vicky Ranawat,175000,750000,450000,Action,2400000,"Yusuf Khan,Sudhir Kamesra","Shyam - Surendra,Sudhir Kamesra",Vicky Ranawat,Khushi Films,29-Sep-00,0,S. Sachindra,15,S. Sachindra,Jwaala Daku
Dharmendra,NA,NA,NA,NA,NA,NA,5000000,Bashir Babbar,Jitendra Chawda,--,--,--,Action,1700000,Zail Singh,Sawan Kumar Sawan,Kajal Mukherjee,Ishwar Films,29-Sep-00,110,Bashir Babbar,5,Bashir Babbar,Dacait
Rohit Bhatia,NA,NA,NA,NA,"

",NA,2000000,NA,Raajan Thomas,--,--,--,Mystery,975000,Satish Tiwari,Tapas - Baban,NA,United Five,22-Sep-00,120,NA,5,NA,Bewafa Qatil
Hitesh,NA,NA,NA,NA,NA,NA,1500000,Bashir Babbar,Yeshwant,--,--,--,Horror,950000,NA,Bappi Lahiri,Vinod Verma,J. Bhaarti Films,22-Sep-00,111,Anil Kavish,4,Anil Kavish,Khooni Shikunja
Aditya Pancholi,NA,NA,NA,NA,NA,NA,4000000,Charandass Shokh,Deepak Anand,--,--,--,Drama,250000,"Naqsh Layalpuri,Anjaan",Amar - Utpal,"Amit Chhatwal,Paul Mehan,Somi Anand",Paul Amit Films,22-Sep-00,114,Charandass Shokh,1,Charandass Shokh,Bhai No. 1
Mithun Chakraborty,Kamal Sadanah,Rituparna Sengupta,Zeenat Ibrahim,Farida Jalal,Alok Nath,Satyan Kappu,12500000,Anwar Khan,Vijay Reddy,1400000,5900000,3700000,Action,17200000,"Rani Malik,Maya Govind,Nawab Arzoo",Dilip Sen - Sameer Sen,Lal Purswani,Tridev Film Associates,15-Sep-00,131,Anwar Khan,70,Anwar Khan,Kaali Topi Laal Rumaal
Sapna,Amit Pachori,NA,Dinesh Hingoo,NA,NA,Joginder,2500000,NA,Kishan Shah,--,--,--,Action,2200000,NA,Priyesh Vakil,Shakuntala Gohil,5001 Films,15-Sep-00,90,NA,8,NA,Daku Ganga Jamuna
Shaloo,Rajesh Tiwari,NA,NA,NA,NA,NA,4000000,Rajesh Mittal,Rajesh Mittal,375000,1650000,1000000,Action,5300000,Paro Tamanna,Shyam - Surendra,Rajesh Mittal,R.N. Films,01-Sep-00,0,Rajesh Mittal,30,Rajesh Mittal,Geeta Mera Naam
